Date,SPY
2/17/2011,-0.015091806
2/24/2011,-0.00068699
3/3/2011,0.01044105
3/10/2011,-0.028929591
3/17/2011,0.029098746
3/24/2011,0.016967636
3/31/2011,0.003540183
4/7/2011,-0.016384924
4/14/2011,-0.001140912
4/21/2011,0.012697009
4/28/2011,0.000442063
5/5/2011,0.007713338
5/12/2011,-0.009446642
5/19/2011,-0.017937037
5/26/2011,0.018959045
6/2/2011,-0.022067331
6/9/2011,0.007007964
6/16/2011,0.024183405
6/23/2011,0.0073055
6/30/2011,0.023638003
7/7/2011,-0.019183546
7/14/2011,0.00675062
7/21/2011,0.00512649
7/28/2011,-0.039127052
8/4/2011,-0.068875376
8/11/2011,0.06501003
8/18/2011,-0.026990929
8/25/2011,0.030487728
9/1/2011,-0.042791329
9/8/2011,-0.021198412
9/15/2011,0.01191029
9/22/2011,0.007802039
9/29/2011,-0.024318204
10/6/2011,0.046146014
10/13/2011,0.015155017
10/20/2011,0.015850853
10/27/2011,-0.018503951
11/3/2011,0.031373599
11/10/2011,0.023708469
11/17/2011,-0.039410132
11/24/2011,0.029941958
12/1/2011,0.010160444
12/8/2011,-0.029038186
12/15/2011,0.024445201
12/22/2011,0.018684356
12/29/2011,0.021389034
1/5/2012,0.011198106
1/12/2012,0.00108379
1/19/2012,0.005276553
1/26/2012,-0.009354077
2/2/2012,0.017513248
2/9/2012,0
2/16/2012,0.014194468
2/23/2012,0.011247523
3/1/2012,-0.01656694
3/8/2012,0.032205928
3/15/2012,0.008187592
3/22/2012,0.006847061
3/29/2012,0.005623674
4/5/2012,-0.028314331
4/12/2012,0.015182323
4/19/2012,-0.00937901
4/26/2012,0.011135898
5/3/2012,-0.026867046
5/10/2012,-0.017680973
5/17/2012,-0.004742797
5/24/2012,0.010811031
5/31/2012,-0.020415856
6/7/2012,0.007198705
6/14/2012,0.032809013
6/21/2012,-0.025833923
6/28/2012,0.03183894
7/5/2012,-0.023797186
7/12/2012,0.016398187
7/19/2012,-0.025041637
7/26/2012,0.027993322
8/2/2012,0.019841965
8/9/2012,0.002135386
8/16/2012,0.005746673
8/23/2012,-0.002961596
8/30/2012,-0.003391769
9/6/2012,0.02128981
9/13/2012,0.015444447
9/20/2012,-0.012479295
9/27/2012,0.008444241
10/4/2012,-0.006134067
10/11/2012,0.01577306
10/18/2012,-0.03269499
10/25/2012,0.002340444
11/1/2012,0.011389801
11/8/2012,-0.01381332
11/15/2012,0.023983021
11/22/2012,0.006310505
11/29/2012,-0.001484788
