Date,Returns_1,Returns_2
3/1/2007,-0.082230664,-0.049805671
3/8/2007,-0.059367519,-0.021881977
3/15/2007,0.005125304,0.028716303
3/22/2007,0.001206723,-0.000718635
3/29/2007,-0.005664815,-0.00734337
4/5/2007,-0.000299828,0.002574281
4/12/2007,0.001520816,0.012582835
4/19/2007,-0.004465926,-0.016804493
4/26/2007,-0.002543566,-0.015652499
5/3/2007,-0.002440148,-0.01119363
5/10/2007,0.003284861,0.010294475
5/17/2007,-0.002228809,-0.005189769
5/24/2007,-0.001763612,-0.024788577
5/31/2007,0.003954102,0.021935403
6/7/2007,-0.006187868,-0.040168647
6/14/2007,0.005499086,0.046695382
6/21/2007,0.002160013,0.007187946
6/28/2007,0.00755793,0.049348174
7/5/2007,0.005586379,0.028628078
7/12/2007,0.001011514,0.011316361
7/19/2007,0.002077566,-0.004778468
7/26/2007,0.000388701,-0.012246884
8/2/2007,-0.001539052,-0.040012054
8/9/2007,-0.011106386,-0.088429282
8/16/2007,0.000817603,-0.027028629
8/23/2007,-0.001089144,-0.00130605
8/30/2007,0.000537615,0.01456213
9/6/2007,0.008658487,0.03086243
9/13/2007,0.006061222,0.065707335
9/20/2007,0.005530897,0.011983811
9/27/2007,-0.003554981,-0.055293583
10/4/2007,0.000896346,0.029847282
10/11/2007,0.000890887,0.113743824
10/18/2007,0.00330218,0.004575833
10/25/2007,0.0013581,0.051647618
11/1/2007,0.013663009,0.093522971
11/8/2007,-0.019508265,-0.107271213
11/15/2007,0.013829679,0.080451411
11/22/2007,-0.009754095,-0.064288003
11/29/2007,-0.003568396,-0.031548614
12/6/2007,0.005698881,0.043070054
12/13/2007,-0.010627986,-0.05430233
12/20/2007,0.005676194,0.05635003
12/27/2007,-0.00072783,-0.018150648
1/3/2008,0.01993735,0.092008672
1/10/2008,0.023330873,0.109659548
1/17/2008,-0.003836928,-0.048122751
1/24/2008,0.024056712,0.096368468
1/31/2008,-0.006889158,-0.031716293
