Date,Returns_1,Returns_2
3/25/2010,-0.020659401,-0.026150949
4/1/2010,-0.014646625,0.00434249
4/8/2010,-0.001869364,0.00251385
4/15/2010,0.092453789,0.036964973
4/22/2010,0.112410898,0.0566123
4/29/2010,-0.03821929,-0.056661735
5/6/2010,0.077483061,0.091045931
5/13/2010,0.10811751,0.067918212
5/20/2010,0.023304853,0.055914182
5/27/2010,-0.013384448,-0.012529252
6/3/2010,0.035353394,0.033439294
6/10/2010,-0.034217915,-0.019629252
6/17/2010,-8.69E-06,0.020765236
6/24/2010,0.000142165,-0.022020994
7/1/2010,-0.203376662,-0.170303992
7/8/2010,-0.007017331,-0.010391013
7/15/2010,0.05541907,0.025477059
7/22/2010,0.016133205,0.042804837
7/29/2010,0.068801547,0.058044183
8/5/2010,-0.074008362,-0.057582505
8/12/2010,0.000648504,0.023225852
8/19/2010,0.000559397,-0.015408575
8/26/2010,0.014515425,0.053982602
9/2/2010,0.05447414,0.041318643
9/9/2010,0.02316214,0.036308506
9/16/2010,0.074775378,0.053545655
9/23/2010,0.055842759,0.047763858
9/30/2010,0.015517136,0.050986641
10/7/2010,-0.132210797,-0.051673419
10/14/2010,-0.238056587,-0.126460855
10/21/2010,-0.001488534,-0.002212293
10/28/2010,0.000318416,0.029524192
11/4/2010,-0.009404858,-0.045126057
11/11/2010,-0.116615176,-0.115075563
11/18/2010,0.008228935,0.037786751
11/25/2010,0.094556856,0.080382115
12/2/2010,-0.045725895,-0.024758747
12/9/2010,-0.02731309,-0.016973304
12/16/2010,0.097263243,0.082425852
12/23/2010,0.062026148,0.047071847
12/30/2010,-0.168883823,-0.084711098
1/6/2011,0.119238568,0.08250017
1/13/2011,-0.059885455,-0.038030654
1/20/2011,-0.032799555,0.001851925
1/27/2011,0.043984883,0.041980066
2/3/2011,-0.03447997,-0.031399818
2/10/2011,-0.082656551,-0.053205879
2/17/2011,0.041832217,-0.008327064
2/24/2011,0.042886738,0.030535647
3/3/2011,-0.000571924,0.004525613
3/10/2011,-0.114638684,-0.101794594
3/17/2011,-0.134300356,-0.015788838
3/24/2011,-0.0964891,-0.016239813
3/31/2011,0.216137858,0.094988413
4/7/2011,-0.006190932,0.007024706
4/14/2011,-0.045844255,0.017578704
4/21/2011,0.012202814,0.018059336
4/28/2011,-0.070758443,-0.046852399
5/5/2011,-0.033219054,-0.025195965
5/12/2011,0.004208409,-0.01778288
5/19/2011,0.027697564,-0.024399145
5/26/2011,-0.015284845,0.00555912
6/2/2011,0.005781085,-0.008447392
6/9/2011,-0.008416263,-0.029972937
6/16/2011,0.007527966,0.029276337
6/23/2011,-0.093107691,-0.076873858
6/30/2011,-0.002215789,-0.006402055
7/7/2011,-0.024193075,-0.055596523
7/14/2011,0.01078977,0.011427541
7/21/2011,0.019197514,0.027259063
7/28/2011,0.06367101,0.03300644
8/4/2011,0.129497973,0.013709927
8/11/2011,0.012624476,0.035240504
8/18/2011,0.059055355,0.043855704
8/25/2011,0.015277959,0.06645179
9/1/2011,0.000373112,0.017460476
9/8/2011,-0.009210207,-0.003338714
9/15/2011,-0.001076724,-0.034735637
9/22/2011,-0.106385097,-0.052462964
9/29/2011,-0.004942267,-0.01647851
10/6/2011,-0.108550005,-0.029508239
10/13/2011,0.019429177,0.014002833
10/20/2011,-0.160690665,-0.078029123
10/27/2011,-0.000187647,-0.034069732
11/3/2011,0.000549599,0.113920705
11/10/2011,0.106028254,0.108703532
11/17/2011,-0.193415114,-0.141202893
11/24/2011,0.045140334,0.067035215
12/1/2011,0.015656019,0.024937063
12/8/2011,0.019574847,0.011069367
12/15/2011,-0.010830779,-0.007307751
12/22/2011,0.06811995,0.050471982
12/29/2011,-0.090428901,-0.051658205
1/5/2012,0.149520445,0.106886097
1/12/2012,-0.048115501,-0.011057201
1/19/2012,-0.056745965,-0.055273207
1/26/2012,0.017686493,0.019152767
2/2/2012,0.018646526,0.022139756
2/9/2012,0.044145084,0.036351333
2/16/2012,-0.048311037,-0.006536162
2/23/2012,0.038771353,0.042235836
3/1/2012,-0.007244332,-0.0124639
3/8/2012,0.019673839,0.063855946
3/15/2012,0.050589262,0.027894222
3/22/2012,0.023094558,0.027684982
3/29/2012,0.028498896,0.015362447
4/5/2012,-0.096925742,-0.079457235
4/12/2012,0.002699109,0.019892687
4/19/2012,-0.023595839,-0.034925298
4/26/2012,-0.007098839,-0.001185866
5/3/2012,-0.031776211,-0.04127737
5/10/2012,0.12527571,0.103473929
5/17/2012,-0.039470448,-0.027602402
5/24/2012,-0.009432132,0.006329591
5/31/2012,-0.031150497,-0.034448728
6/7/2012,0.06410123,0.051691075
6/14/2012,0.046657722,0.056889977
6/21/2012,0.080881607,0.047236868
6/28/2012,-0.061283509,-0.051121423
7/5/2012,0.044391785,0.01883507
7/12/2012,0.029728611,0.01704393
7/19/2012,-0.090098994,-0.063574917
7/26/2012,-0.071560657,-0.012365408
8/2/2012,-0.065971772,-0.04489088
8/9/2012,-0.043203202,-0.031441194
8/16/2012,0.032322845,0.051720653
8/23/2012,-0.0041362,0.005188335
8/30/2012,0.04638879,0.039269118
9/6/2012,-0.070104797,-0.031393996
9/13/2012,0.075466836,0.068039641
9/20/2012,0.018921631,-0.021863358
9/27/2012,0.011331731,0.028647453
10/4/2012,-0.155707869,-0.076045702
10/11/2012,-0.059735242,-0.022157103
10/18/2012,-0.023243478,-0.040496646
10/25/2012,-0.021844775,-0.007598542
11/1/2012,-0.088534248,-0.052065963
11/8/2012,-0.092534886,-0.023169035
11/15/2012,-0.005585214,0.001031338
11/22/2012,0.000994012,0.030905982
11/29/2012,0.005371922,0.045202032
12/6/2012,-0.012269157,-0.034888311
12/13/2012,0.019521911,0.022660716
12/20/2012,0.037566081,0.019576139
12/27/2012,0.029687879,0.028876027
1/3/2013,-0.050543568,-0.009179399
1/10/2013,-0.004662702,-0.021735494
1/17/2013,0.052275336,0.036694425
1/24/2013,0.009204042,0.070219079
1/31/2013,-0.037962383,-0.032666899
2/7/2013,0.01505278,0.025472626
2/14/2013,0.059520343,0.033460474
2/21/2013,0.001015034,-0.016515065
2/28/2013,0.125694601,0.048462627
3/7/2013,-0.08584193,-0.053700427
3/14/2013,0.065163743,0.037749748
3/21/2013,-0.021046851,0.000250506
3/28/2013,-0.075844611,-0.05030821
4/4/2013,0.003997516,-0.005552404
4/11/2013,-0.050970625,-0.07260654
4/18/2013,-0.043789705,-0.010001806
4/25/2013,-0.016801385,-0.027770047
5/2/2013,-0.024332886,-0.014180039
5/9/2013,0.123960957,0.074316732
5/16/2013,0.076403012,0.049105291
5/23/2013,-0.00657714,-0.033433978
5/30/2013,0.014995047,0.008597037
6/6/2013,0.144675394,0.117887341
6/13/2013,-0.011656314,0.008269998
6/20/2013,0.09433719,0.027383676
6/27/2013,0.066626804,0.037595362
7/4/2013,0.022999676,0.061239269
7/11/2013,-0.125740238,-0.087976522
7/18/2013,-0.195222351,-0.115525322
7/25/2013,0.10783459,0.070130109
8/1/2013,-0.063884268,-0.036166867
8/8/2013,-0.096572779,-0.023811832
8/15/2013,0.100351662,0.026501565
8/22/2013,-0.003762406,-0.015305641
8/29/2013,-0.004253916,-0.018279325
9/5/2013,0.012231093,0.020439689
9/12/2013,-0.069447571,-0.031092782
9/19/2013,-0.017859416,-0.068105008
9/26/2013,0.002565706,0.03214902
10/3/2013,0.003544187,0.006149983
10/10/2013,0.063625495,0.024201399
10/17/2013,0.168585372,0.088842505
10/24/2013,-0.026978942,-0.021254822
10/31/2013,0.012940411,-0.008019751
11/7/2013,-0.011213018,-0.004134124
11/14/2013,-0.049501113,-0.0110595
11/21/2013,0.103101901,0.0438831
11/28/2013,0.008026823,-0.019380363
12/5/2013,-0.019702719,0.014459819
12/12/2013,0.025884963,0.023407682
12/19/2013,0.026757065,-0.026859326
12/26/2013,-0.069951408,-0.004702389
1/2/2014,-0.093190708,-0.07961662
1/9/2014,0.127500062,0.08584269
1/16/2014,0.062961668,0.032025825
1/23/2014,-0.120272036,-0.043787401
1/30/2014,-0.167125237,-0.088413198
2/6/2014,-0.023627385,-0.005420241
2/13/2014,0.085923021,0.077224926
2/20/2014,0.033151889,0.011514208
2/27/2014,0.060437076,0.07233777
3/6/2014,0.016248023,0.013979525
3/13/2014,0.008811685,-0.002030232
3/20/2014,-0.221138226,-0.059495971
3/27/2014,0.013664544,0.026402225
4/3/2014,0.089790954,0.070910117
4/10/2014,-0.019563036,-0.029195563
4/17/2014,0.034764187,0.023300763
4/24/2014,0.001237835,-0.004965484
5/1/2014,-0.002519935,0.00503651
5/8/2014,-0.077150275,-0.022058312
5/15/2014,-0.05936275,-0.067428671
5/22/2014,-0.001434982,0.01130445
5/29/2014,0.024144731,0.021163023
6/5/2014,-0.055791403,-0.013143194
6/12/2014,0.025100041,0.014437453
6/19/2014,0.039611785,0.009972013
6/26/2014,0.132027587,0.046813058
7/3/2014,-0.13034869,-0.047135022
7/10/2014,0.007075524,0.018033755
7/17/2014,0.097583389,0.063238933
7/24/2014,-0.005904262,-0.005353672
7/31/2014,0.010514255,0.000867464
8/7/2014,0.065378503,0.019034167
8/14/2014,0.203173997,0.087293426
8/21/2014,-0.008870445,-0.001888956
8/28/2014,0.086617141,0.031332951
9/4/2014,-0.054582499,-0.001908721
9/11/2014,0.005209642,-0.00354095
9/18/2014,0.011380569,0.000746285
9/25/2014,0.092803753,0.029702142
10/2/2014,-0.108755114,-0.02739239
10/9/2014,0.022399953,0.023531925
10/16/2014,-0.032206054,-0.030383753
10/23/2014,-0.004164549,-0.010255199
10/30/2014,0.072558656,0.050478261
11/6/2014,0.047798181,0.023340532
11/13/2014,-0.012633149,0.019959672
11/20/2014,0.00867222,0.014814564
11/27/2014,0.189324404,0.133090857
12/4/2014,0.144409624,0.049327258
