Date,Returns_1,Returns_2
3/1/2007,-0.000476538,-0.049224756
3/8/2007,0.000761166,-0.019655859
3/15/2007,0.000643561,0.027901517
3/22/2007,0.000422318,-0.000922732
3/29/2007,0.000384819,-0.006217035
4/5/2007,0.000292344,0.003307419
4/12/2007,0.000923633,0.013191308
4/19/2007,0.000391459,-0.015725302
4/26/2007,0.000429134,-0.015273088
5/3/2007,0.000327238,-0.011018677
5/10/2007,0.00077093,0.009987483
5/17/2007,7.10E-05,-0.005553911
5/24/2007,0.000325608,-0.02309807
5/31/2007,0.000789373,0.021304836
6/7/2007,0.000534959,-0.039504896
6/14/2007,0.001524879,0.039684828
6/21/2007,0.00062497,0.006691874
6/28/2007,0.000777223,0.047283533
7/5/2007,0.001318906,0.027719698
7/12/2007,0.000669997,0.010943352
7/19/2007,0.000627327,-0.004307213
7/26/2007,0.000777056,-0.012095075
8/2/2007,0.000604655,-0.034672865
8/9/2007,0.001088699,-0.083568743
8/16/2007,0.003034927,-0.01963329
8/23/2007,-0.001064395,-0.002161929
8/30/2007,0.000659542,0.013936306
9/6/2007,0.00103685,0.03033384
9/13/2007,0.000818004,0.059771202
9/20/2007,0.000887738,0.010889405
9/27/2007,-0.000121322,-0.051000829
10/4/2007,0.000210938,0.025052373
10/11/2007,0.000374229,0.089821481
10/18/2007,0.001228533,0.003424357
10/25/2007,0.000987219,0.041695048
11/1/2007,0.001858483,0.072753067
11/8/2007,-1.57E-05,-0.095865858
11/15/2007,0.00209857,0.074061978
11/22/2007,-1.10E-05,-0.056639847
11/29/2007,0.000506717,-0.029855918
12/6/2007,0.001345497,0.038548835
12/13/2007,-0.001514009,-0.056187592
12/20/2007,0.000256856,0.052289631
12/27/2007,0.000164098,-0.015059808
1/3/2008,0.00058974,0.081379775
1/10/2008,0.000999087,0.100083212
1/17/2008,0.001721706,-0.046158352
1/24/2008,0.001939239,0.091004368
1/31/2008,-0.00031903,-0.032862027
2/7/2008,0.000209179,0.025970085
2/14/2008,0.001108802,0.119102974
2/21/2008,0.001431418,0.088540989
2/28/2008,0.000145208,-0.003610221
3/6/2008,0.000174931,0.014933975
3/13/2008,0.000884456,-0.088970807
3/20/2008,-0.001304707,-0.027429154
3/27/2008,-0.000128132,-0.147743568
4/3/2008,0.000701129,0.040927854
4/10/2008,0.000255916,0.021188626
4/17/2008,-0.000147941,-0.014094049
4/24/2008,-0.001098143,-0.119244416
5/1/2008,0.000104009,0.037398069
5/8/2008,-0.000370499,0.02306638
5/15/2008,0.001164044,0.080543309
5/22/2008,-0.00026363,-0.083127748
5/29/2008,-0.00013677,-0.093057072
6/5/2008,-0.00039498,0.098719214
6/12/2008,0.000522014,0.004883416
6/19/2008,0.000114421,-0.026531691
6/26/2008,0.000834681,0.054772825
7/3/2008,-0.000266858,-0.091756841
7/10/2008,0.000986973,0.052609766
7/17/2008,-0.000353722,-0.076981008
7/24/2008,-9.96E-05,-0.02687699
7/31/2008,9.95E-05,-0.047082532
8/7/2008,-0.000168139,-0.061210045
8/14/2008,0.000174925,-0.006041727
8/21/2008,-0.000144002,-0.028104436
8/28/2008,-1.17E-05,-0.018733492
9/4/2008,-0.000206805,-0.000885411
9/11/2008,0.001902411,-0.043195442
9/18/2008,-0.001810004,-0.057072075
9/25/2008,-0.000252919,0.085866458
10/2/2008,-0.00068476,-0.038529588
10/9/2008,0.000138793,-0.033814013
10/16/2008,-0.002009724,0.138298532
10/23/2008,0.000879495,-0.037742142
10/30/2008,0.000975436,0.080483971
11/6/2008,0.00144273,0.099036125
11/13/2008,-0.000283412,-0.01082186
11/20/2008,0.00091785,-0.038711836
11/27/2008,-0.000257532,0.07981471
12/4/2008,0.001181488,0.145944557
12/11/2008,0.00034712,-0.047161372
12/18/2008,0.000429467,0.094046184
12/25/2008,0.000524104,-0.01886161
1/1/2009,-0.000857824,-0.165920147
1/8/2009,-0.000206577,0.051578
1/15/2009,-0.000608112,0.05650791
1/22/2009,0.000688621,0.045235875
1/29/2009,-0.000560308,0.037023338
2/5/2009,0.00055855,0.015653088
2/12/2009,-0.000384548,0.128357991
2/19/2009,-0.000910128,-0.185330711
2/26/2009,-0.000388309,-0.079706207
3/5/2009,2.45E-05,-0.018900348
3/12/2009,0.000562379,-0.062275958
3/19/2009,-0.000349878,-0.068989329
3/26/2009,-3.80E-05,0.021306285
4/2/2009,6.08E-05,-0.017359703
4/9/2009,0.000435422,0.036267669
4/16/2009,-8.19E-05,0.041955384
4/23/2009,-0.000355951,-0.016496546
4/30/2009,-0.000731577,0.029852386
5/7/2009,4.75E-05,-0.023914375
5/14/2009,0.000176337,0.052932051
5/21/2009,-0.00036465,0.05471299
5/28/2009,0.000342527,0.103968314
6/4/2009,-0.000615094,0.00345351
6/11/2009,-1.82E-05,-0.093055231
6/18/2009,-0.000762481,-0.050202404
6/25/2009,0.000520315,0.014896194
7/2/2009,-0.000148914,-0.023552293
7/9/2009,-9.58E-05,0.039945682
7/16/2009,4.69E-05,0.059954309
7/23/2009,-0.000219735,-0.118868038
7/30/2009,-0.000290513,0.006570113
8/6/2009,-3.74E-06,-0.038140829
8/13/2009,0.000195055,0.01740157
8/20/2009,9.79E-05,-0.00719001
8/27/2009,-0.000730688,8.45E-05
9/3/2009,-0.000209298,0.101280798
9/10/2009,-9.53E-05,-0.04738371
9/17/2009,0.000180089,0.05178587
9/24/2009,-0.000306782,-0.030360163
10/1/2009,0.000370711,0.073737249
10/8/2009,-0.00018147,0.025076468
10/15/2009,4.15E-05,-0.013942133
10/22/2009,-0.000104913,-0.021956514
10/29/2009,-0.000239308,0.018522131
11/5/2009,0.000545209,0.064537981
11/12/2009,0.000452374,0.024858101
11/19/2009,0.000175711,0.066970886
11/26/2009,-0.000285172,-0.065268918
12/3/2009,-0.000460516,-0.140697673
12/10/2009,-0.000162745,-0.027189588
12/17/2009,-4.28E-05,-0.090965377
12/24/2009,0.000142589,0.004862115
12/31/2009,-0.000366462,0.008327107
1/7/2010,0.000141509,-0.046337215
1/14/2010,0.000142344,0.033460269
1/21/2010,0.000124909,-0.043245334
1/28/2010,0.000263251,-0.008996736
2/4/2010,0.000187261,-0.00865263
2/11/2010,-9.34E-05,0.062660132
2/18/2010,1.31E-05,0.001849048
2/25/2010,-0.000303037,0.008329526
3/4/2010,8.34E-05,0.00619579
3/11/2010,-0.000242965,-0.018787219
3/18/2010,0.000183357,0.045574533
3/25/2010,0.000164911,-0.014759965
4/1/2010,-0.000149015,0.034742748
4/8/2010,-5.70E-05,-0.040874986
4/15/2010,0.000245318,0.029959818
4/22/2010,0.000298592,0.072288911
4/29/2010,-7.64E-05,0.030788411
5/6/2010,-4.17E-05,0.021822128
5/13/2010,2.82E-05,0.05912787
5/20/2010,-8.16E-05,-0.016306708
5/27/2010,0.00022967,-0.000778035
6/3/2010,0.00030384,0.014320633
6/10/2010,-0.000325598,-0.044260888
6/17/2010,-8.20E-05,-0.002963684
6/24/2010,9.92E-05,-0.015439158
7/1/2010,-0.000594468,-0.096272096
7/8/2010,-0.000157736,-0.008828002
7/15/2010,-0.000313003,-0.027465057
7/22/2010,5.47E-06,-0.055746708
7/29/2010,-0.000297183,-0.038772223
8/5/2010,-0.000301993,-0.017874016
8/12/2010,0.000166002,0.057667665
8/19/2010,-0.000374297,0.016178627
8/26/2010,0.000185983,0.047082403
9/2/2010,-7.40E-05,0.056556546
9/9/2010,0.000164016,0.03990291
9/16/2010,-9.23E-06,0.044699219
9/23/2010,0.000280615,0.040856078
9/30/2010,-6.66E-05,-0.020405945
10/7/2010,0.000132722,0.075487645
10/14/2010,-4.41E-05,-0.085350897
10/21/2010,0.000110817,0.010552231
10/28/2010,0.000130661,0.083028139
11/4/2010,-0.000318834,0.02426196
11/11/2010,-0.000467089,-0.199452911
11/18/2010,-0.000212832,0.016518101
11/25/2010,0.000120422,-0.017520701
12/2/2010,0.000374294,0.012945421
12/9/2010,3.43E-05,0.029573362
12/16/2010,3.93E-05,0.020590001
12/23/2010,0.00043455,0.04495131
12/30/2010,-5.19E-05,-0.056656846
1/6/2011,-0.000294849,0.048742802
1/13/2011,-0.000197812,-0.062719974
1/20/2011,-0.000101973,-0.028129109
1/27/2011,0.000232435,-0.01585882
